case_id,prefix,artifact_dir,preferred_alive2_func,pair_compile_ok,prog_a_compile_ok,prog_b_compile_ok,prog_a_preprocess_changed,prog_b_preprocess_changed,prog_a_ir_path,prog_b_ir_path,prog_a_error,prog_b_error
goeq-oja-0001,goeq-oja-,dataset/cases/goeq-oja-0001/artifacts/codon-llvm-release-noexc-v1,main,True,True,True,True,True,dataset/cases/goeq-oja-0001/artifacts/codon-llvm-release-noexc-v1/prog_a/module.ll,dataset/cases/goeq-oja-0001/artifacts/codon-llvm-release-noexc-v1/prog_b/module.ll,,
goeq-oja-0002,goeq-oja-,dataset/cases/goeq-oja-0002/artifacts/codon-llvm-release-noexc-v1,main,False,True,False,True,True,dataset/cases/goeq-oja-0002/artifacts/codon-llvm-release-noexc-v1/prog_a/module.ll,dataset/cases/goeq-oja-0002/artifacts/codon-llvm-release-noexc-v1/prog_b/module.ll,,[1mpreprocessed.py:5 (12-40): [1;31merror:[0m[1m 'Generator[int]' object has no attribute '__getitem__'[0m
goeq-oja-0003,goeq-oja-,dataset/cases/goeq-oja-0003/artifacts/codon-llvm-release-noexc-v1,main,True,True,True,True,True,dataset/cases/goeq-oja-0003/artifacts/codon-llvm-release-noexc-v1/prog_a/module.ll,dataset/cases/goeq-oja-0003/artifacts/codon-llvm-release-noexc-v1/prog_b/module.ll,,
goeq-oja-0004,goeq-oja-,dataset/cases/goeq-oja-0004/artifacts/codon-llvm-release-noexc-v1,main,True,True,True,True,True,dataset/cases/goeq-oja-0004/artifacts/codon-llvm-release-noexc-v1/prog_a/module.ll,dataset/cases/goeq-oja-0004/artifacts/codon-llvm-release-noexc-v1/prog_b/module.ll,,
goeq-oja-0005,goeq-oja-,dataset/cases/goeq-oja-0005/artifacts/codon-llvm-release-noexc-v1,main,True,True,True,True,True,dataset/cases/goeq-oja-0005/artifacts/codon-llvm-release-noexc-v1/prog_a/module.ll,dataset/cases/goeq-oja-0005/artifacts/codon-llvm-release-noexc-v1/prog_b/module.ll,,
goeq-oja-0008,goeq-oja-,dataset/cases/goeq-oja-0008/artifacts/codon-llvm-release-noexc-v1,main,True,True,True,True,True,dataset/cases/goeq-oja-0008/artifacts/codon-llvm-release-noexc-v1/prog_a/module.ll,dataset/cases/goeq-oja-0008/artifacts/codon-llvm-release-noexc-v1/prog_b/module.ll,,
goeq-oja-0009,goeq-oja-,dataset/cases/goeq-oja-0009/artifacts/codon-llvm-release-noexc-v1,main,True,True,True,True,True,dataset/cases/goeq-oja-0009/artifacts/codon-llvm-release-noexc-v1/prog_a/module.ll,dataset/cases/goeq-oja-0009/artifacts/codon-llvm-release-noexc-v1/prog_b/module.ll,,
goeq-oja-0018,goeq-oja-,dataset/cases/goeq-oja-0018/artifacts/codon-llvm-release-noexc-v1,main,False,True,False,True,True,dataset/cases/goeq-oja-0018/artifacts/codon-llvm-release-noexc-v1/prog_a/module.ll,dataset/cases/goeq-oja-0018/artifacts/codon-llvm-release-noexc-v1/prog_b/module.ll,,[1mpreprocessed.py:8 (21-41): [1;31merror:[0m[1m 'File' object has no attribute 'readline'[0m
goeq-oja-0020,goeq-oja-,dataset/cases/goeq-oja-0020/artifacts/codon-llvm-release-noexc-v1,main,True,True,True,True,True,dataset/cases/goeq-oja-0020/artifacts/codon-llvm-release-noexc-v1/prog_a/module.ll,dataset/cases/goeq-oja-0020/artifacts/codon-llvm-release-noexc-v1/prog_b/module.ll,,
goeq-oja-0026,goeq-oja-,dataset/cases/goeq-oja-0026/artifacts/codon-llvm-release-noexc-v1,main,True,True,True,True,True,dataset/cases/goeq-oja-0026/artifacts/codon-llvm-release-noexc-v1/prog_a/module.ll,dataset/cases/goeq-oja-0026/artifacts/codon-llvm-release-noexc-v1/prog_b/module.ll,,
goeq-oja-0027,goeq-oja-,dataset/cases/goeq-oja-0027/artifacts/codon-llvm-release-noexc-v1,main,True,True,True,True,True,dataset/cases/goeq-oja-0027/artifacts/codon-llvm-release-noexc-v1/prog_a/module.ll,dataset/cases/goeq-oja-0027/artifacts/codon-llvm-release-noexc-v1/prog_b/module.ll,,
goeq-oja-0030,goeq-oja-,dataset/cases/goeq-oja-0030/artifacts/codon-llvm-release-noexc-v1,main,True,True,True,True,True,dataset/cases/goeq-oja-0030/artifacts/codon-llvm-release-noexc-v1/prog_a/module.ll,dataset/cases/goeq-oja-0030/artifacts/codon-llvm-release-noexc-v1/prog_b/module.ll,,
goeq-oja-0034,goeq-oja-,dataset/cases/goeq-oja-0034/artifacts/codon-llvm-release-noexc-v1,main,True,True,True,True,True,dataset/cases/goeq-oja-0034/artifacts/codon-llvm-release-noexc-v1/prog_a/module.ll,dataset/cases/goeq-oja-0034/artifacts/codon-llvm-release-noexc-v1/prog_b/module.ll,,
goeq-oja-0036,goeq-oja-,dataset/cases/goeq-oja-0036/artifacts/codon-llvm-release-noexc-v1,main,True,True,True,True,True,dataset/cases/goeq-oja-0036/artifacts/codon-llvm-release-noexc-v1/prog_a/module.ll,dataset/cases/goeq-oja-0036/artifacts/codon-llvm-release-noexc-v1/prog_b/module.ll,,
