case_id,problem_id,pair_id,source_category,label,compare_func,prog_a_functions,prog_b_functions,preprocess_changed_a,preprocess_changed_b,prog_a_compile_ok,prog_b_compile_ok,alive2_status,correct_count,incorrect_count,failed_to_prove_count,error_count,headline,note
goeq-oja-0004,2,4,OJ_A,equivalent,main,,,True,True,True,True,correct,1,0,0,0,Transformation seems to be correct!,Alive2 proved the selected function equivalent.
goeq-oja-0005,2,5,OJ_A,inequivalent,main,,,True,True,True,True,correct,1,0,0,0,Transformation seems to be correct!,Alive2 proved the selected function equivalent.
goeq-oja-0008,4,8,OJ_A,equivalent,main,,,True,True,True,True,correct,1,0,0,0,Transformation seems to be correct!,Alive2 proved the selected function equivalent.
goeq-oja-0009,4,9,OJ_A,inequivalent,main,,,True,True,True,True,correct,1,0,0,0,Transformation seems to be correct!,Alive2 proved the selected function equivalent.
goeq-oja-0066,33,66,OJ_A,equivalent,main,,,True,True,True,True,failed_to_prove,0,0,1,0,ERROR: Unsupported interprocedural transformation: global variable @.str.100 has different size in source and target (2 vs 1 bytes),ERROR: Unsupported interprocedural transformation: global variable @.str.100 has different size in source and target (2 vs 1 bytes)
goeq-oja-0067,33,67,OJ_A,inequivalent,main,,,True,True,True,True,failed_to_prove,0,0,1,0,ERROR: Unsupported interprocedural transformation: global variable @.str.100 has different size in source and target (2 vs 1 bytes),ERROR: Unsupported interprocedural transformation: global variable @.str.100 has different size in source and target (2 vs 1 bytes)
goeq-oja-0074,37,74,OJ_A,equivalent,main,,,True,True,True,True,alive2_error,0,0,0,1,ERROR: Unsupported metadata: 7,ERROR: Unsupported metadata: 7
goeq-oja-0075,37,75,OJ_A,inequivalent,main,,,True,True,True,True,alive2_error,0,0,0,1,ERROR: Unsupported metadata: 7,ERROR: Unsupported metadata: 7
goeq-oja-0090,45,90,OJ_A,equivalent,main,,,True,True,True,True,correct,1,0,0,0,Transformation seems to be correct!,Alive2 proved the selected function equivalent.
goeq-oja-0091,45,91,OJ_A,inequivalent,main,,,True,True,True,True,correct,1,0,0,0,Transformation seems to be correct!,Alive2 proved the selected function equivalent.
goeq-oja-0122,61,122,OJ_A,equivalent,main,main,,True,True,True,True,correct,1,0,0,0,Transformation seems to be correct!,Alive2 proved the selected function equivalent.
goeq-oja-0123,61,123,OJ_A,inequivalent,main,main,,True,True,True,True,correct,1,0,0,0,Transformation seems to be correct!,Alive2 proved the selected function equivalent.
goeq-oja-0126,63,126,OJ_A,equivalent,main,main,,True,True,True,True,failed_to_prove,0,0,1,0,ERROR: Unsupported interprocedural transformation: global variable @.str.97 has different size in source and target (2 vs 6 bytes),ERROR: Unsupported interprocedural transformation: global variable @.str.97 has different size in source and target (2 vs 6 bytes)
goeq-oja-0127,63,127,OJ_A,inequivalent,main,main,,True,True,True,True,failed_to_prove,0,0,1,0,ERROR: Unsupported interprocedural transformation: global variable @.str.97 has different size in source and target (2 vs 1 bytes),ERROR: Unsupported interprocedural transformation: global variable @.str.97 has different size in source and target (2 vs 1 bytes)
goeq-oja-0130,65,130,OJ_A,equivalent,main,,main,True,True,True,True,correct,1,0,0,0,Transformation seems to be correct!,Alive2 proved the selected function equivalent.
goeq-oja-0131,65,131,OJ_A,inequivalent,main,,,True,True,True,True,correct,1,0,0,0,Transformation seems to be correct!,Alive2 proved the selected function equivalent.
