case_id,prefix,expected_label,compare_func,artifact_dir,prog_a_ir_path,prog_b_ir_path,successful,correct,predicted_label,raw_output,status,exit_code,timed_out,correct_count,incorrect_count,failed_to_prove_count,error_count,headline,error,raw_output_path,result_path
goeq-oja-0001,goeq-oja-,inequivalent,main,dataset/cases/goeq-oja-0001/artifacts/codon-llvm-release-noexc-v1,dataset/cases/goeq-oja-0001/artifacts/codon-llvm-release-noexc-v1/prog_a/module.ll,dataset/cases/goeq-oja-0001/artifacts/codon-llvm-release-noexc-v1/prog_b/module.ll,False,False,,failed-to-prove,alive2_error,1,False,0,0,0,1,ERROR: Unsupported metadata: 8,"alive2 unresolved: 0 incorrect, 0 failed-to-prove, 1 errors",dataset/cases/goeq-oja-0001/artifacts/codon-llvm-release-noexc-v1/alive2-main-output.txt,dataset/cases/goeq-oja-0001/artifacts/codon-llvm-release-noexc-v1/alive2-main-report.json
goeq-oja-0003,goeq-oja-,inequivalent,main,dataset/cases/goeq-oja-0003/artifacts/codon-llvm-release-noexc-v1,dataset/cases/goeq-oja-0003/artifacts/codon-llvm-release-noexc-v1/prog_a/module.ll,dataset/cases/goeq-oja-0003/artifacts/codon-llvm-release-noexc-v1/prog_b/module.ll,False,False,,failed-to-prove,alive2_error,1,False,0,0,0,1,ERROR: Unsupported metadata: 7,"alive2 unresolved: 0 incorrect, 0 failed-to-prove, 1 errors",dataset/cases/goeq-oja-0003/artifacts/codon-llvm-release-noexc-v1/alive2-main-output.txt,dataset/cases/goeq-oja-0003/artifacts/codon-llvm-release-noexc-v1/alive2-main-report.json
goeq-oja-0004,goeq-oja-,equivalent,main,dataset/cases/goeq-oja-0004/artifacts/codon-llvm-release-noexc-v1,dataset/cases/goeq-oja-0004/artifacts/codon-llvm-release-noexc-v1/prog_a/module.ll,dataset/cases/goeq-oja-0004/artifacts/codon-llvm-release-noexc-v1/prog_b/module.ll,True,True,equivalent,equivalent,equivalent,0,False,1,0,0,0,Transformation seems to be correct!,,dataset/cases/goeq-oja-0004/artifacts/codon-llvm-release-noexc-v1/alive2-main-output.txt,dataset/cases/goeq-oja-0004/artifacts/codon-llvm-release-noexc-v1/alive2-main-report.json
goeq-oja-0005,goeq-oja-,inequivalent,main,dataset/cases/goeq-oja-0005/artifacts/codon-llvm-release-noexc-v1,dataset/cases/goeq-oja-0005/artifacts/codon-llvm-release-noexc-v1/prog_a/module.ll,dataset/cases/goeq-oja-0005/artifacts/codon-llvm-release-noexc-v1/prog_b/module.ll,True,False,equivalent,equivalent,equivalent,0,False,1,0,0,0,Transformation seems to be correct!,,dataset/cases/goeq-oja-0005/artifacts/codon-llvm-release-noexc-v1/alive2-main-output.txt,dataset/cases/goeq-oja-0005/artifacts/codon-llvm-release-noexc-v1/alive2-main-report.json
goeq-oja-0008,goeq-oja-,equivalent,main,dataset/cases/goeq-oja-0008/artifacts/codon-llvm-release-noexc-v1,dataset/cases/goeq-oja-0008/artifacts/codon-llvm-release-noexc-v1/prog_a/module.ll,dataset/cases/goeq-oja-0008/artifacts/codon-llvm-release-noexc-v1/prog_b/module.ll,True,True,equivalent,equivalent,equivalent,0,False,1,0,0,0,Transformation seems to be correct!,,dataset/cases/goeq-oja-0008/artifacts/codon-llvm-release-noexc-v1/alive2-main-output.txt,dataset/cases/goeq-oja-0008/artifacts/codon-llvm-release-noexc-v1/alive2-main-report.json
goeq-oja-0009,goeq-oja-,inequivalent,main,dataset/cases/goeq-oja-0009/artifacts/codon-llvm-release-noexc-v1,dataset/cases/goeq-oja-0009/artifacts/codon-llvm-release-noexc-v1/prog_a/module.ll,dataset/cases/goeq-oja-0009/artifacts/codon-llvm-release-noexc-v1/prog_b/module.ll,True,False,equivalent,equivalent,equivalent,0,False,1,0,0,0,Transformation seems to be correct!,,dataset/cases/goeq-oja-0009/artifacts/codon-llvm-release-noexc-v1/alive2-main-output.txt,dataset/cases/goeq-oja-0009/artifacts/codon-llvm-release-noexc-v1/alive2-main-report.json
goeq-oja-0020,goeq-oja-,equivalent,main,dataset/cases/goeq-oja-0020/artifacts/codon-llvm-release-noexc-v1,dataset/cases/goeq-oja-0020/artifacts/codon-llvm-release-noexc-v1/prog_a/module.ll,dataset/cases/goeq-oja-0020/artifacts/codon-llvm-release-noexc-v1/prog_b/module.ll,True,True,equivalent,equivalent,equivalent,0,False,1,0,0,0,Transformation seems to be correct!,,dataset/cases/goeq-oja-0020/artifacts/codon-llvm-release-noexc-v1/alive2-main-output.txt,dataset/cases/goeq-oja-0020/artifacts/codon-llvm-release-noexc-v1/alive2-main-report.json
goeq-oja-0026,goeq-oja-,equivalent,main,dataset/cases/goeq-oja-0026/artifacts/codon-llvm-release-noexc-v1,dataset/cases/goeq-oja-0026/artifacts/codon-llvm-release-noexc-v1/prog_a/module.ll,dataset/cases/goeq-oja-0026/artifacts/codon-llvm-release-noexc-v1/prog_b/module.ll,False,False,,failed-to-prove,failed_to_prove,0,False,0,0,1,0,ERROR: Unsupported interprocedural transformation: global variable @.str.110 has different size in source and target (3 vs 2 bytes),"alive2 unresolved: 0 incorrect, 1 failed-to-prove, 0 errors",dataset/cases/goeq-oja-0026/artifacts/codon-llvm-release-noexc-v1/alive2-main-output.txt,dataset/cases/goeq-oja-0026/artifacts/codon-llvm-release-noexc-v1/alive2-main-report.json
goeq-oja-0027,goeq-oja-,inequivalent,main,dataset/cases/goeq-oja-0027/artifacts/codon-llvm-release-noexc-v1,dataset/cases/goeq-oja-0027/artifacts/codon-llvm-release-noexc-v1/prog_a/module.ll,dataset/cases/goeq-oja-0027/artifacts/codon-llvm-release-noexc-v1/prog_b/module.ll,False,False,,failed-to-prove,failed_to_prove,0,False,0,0,1,0,ERROR: Unsupported interprocedural transformation: global variable @.str.101 has different size in source and target (12 vs 2 bytes),"alive2 unresolved: 0 incorrect, 1 failed-to-prove, 0 errors",dataset/cases/goeq-oja-0027/artifacts/codon-llvm-release-noexc-v1/alive2-main-output.txt,dataset/cases/goeq-oja-0027/artifacts/codon-llvm-release-noexc-v1/alive2-main-report.json
goeq-oja-0030,goeq-oja-,equivalent,main,dataset/cases/goeq-oja-0030/artifacts/codon-llvm-release-noexc-v1,dataset/cases/goeq-oja-0030/artifacts/codon-llvm-release-noexc-v1/prog_a/module.ll,dataset/cases/goeq-oja-0030/artifacts/codon-llvm-release-noexc-v1/prog_b/module.ll,False,False,,failed-to-prove,alive2_error,1,False,0,0,0,1,ERROR: Unsupported metadata: 7,"alive2 unresolved: 0 incorrect, 0 failed-to-prove, 1 errors",dataset/cases/goeq-oja-0030/artifacts/codon-llvm-release-noexc-v1/alive2-main-output.txt,dataset/cases/goeq-oja-0030/artifacts/codon-llvm-release-noexc-v1/alive2-main-report.json
