case_id,artifact_dir,normalization,pair_compile_ok,prog_a_compile_ok,prog_b_compile_ok,prog_a_normalized_path,prog_b_normalized_path,prog_a_ir_path,prog_b_ir_path,prog_a_error,prog_b_error
goeq-dce-0002,dataset/cases/goeq-dce-0002/artifacts/clang-llvm-o0-novol-v1,novol,True,True,True,dataset/cases/goeq-dce-0002/artifacts/clang-llvm-o0-novol-v1/prog_a/normalized.novol.c,dataset/cases/goeq-dce-0002/artifacts/clang-llvm-o0-novol-v1/prog_b/normalized.novol.c,dataset/cases/goeq-dce-0002/artifacts/clang-llvm-o0-novol-v1/prog_a/module.ll,dataset/cases/goeq-dce-0002/artifacts/clang-llvm-o0-novol-v1/prog_b/module.ll,,
goeq-dce-0003,dataset/cases/goeq-dce-0003/artifacts/clang-llvm-o0-novol-v1,novol,True,True,True,dataset/cases/goeq-dce-0003/artifacts/clang-llvm-o0-novol-v1/prog_a/normalized.novol.c,dataset/cases/goeq-dce-0003/artifacts/clang-llvm-o0-novol-v1/prog_b/normalized.novol.c,dataset/cases/goeq-dce-0003/artifacts/clang-llvm-o0-novol-v1/prog_a/module.ll,dataset/cases/goeq-dce-0003/artifacts/clang-llvm-o0-novol-v1/prog_b/module.ll,,
goeq-dce-0004,dataset/cases/goeq-dce-0004/artifacts/clang-llvm-o0-novol-v1,novol,True,True,True,dataset/cases/goeq-dce-0004/artifacts/clang-llvm-o0-novol-v1/prog_a/normalized.novol.c,dataset/cases/goeq-dce-0004/artifacts/clang-llvm-o0-novol-v1/prog_b/normalized.novol.c,dataset/cases/goeq-dce-0004/artifacts/clang-llvm-o0-novol-v1/prog_a/module.ll,dataset/cases/goeq-dce-0004/artifacts/clang-llvm-o0-novol-v1/prog_b/module.ll,,
goeq-dce-0005,dataset/cases/goeq-dce-0005/artifacts/clang-llvm-o0-novol-v1,novol,True,True,True,dataset/cases/goeq-dce-0005/artifacts/clang-llvm-o0-novol-v1/prog_a/normalized.novol.c,dataset/cases/goeq-dce-0005/artifacts/clang-llvm-o0-novol-v1/prog_b/normalized.novol.c,dataset/cases/goeq-dce-0005/artifacts/clang-llvm-o0-novol-v1/prog_a/module.ll,dataset/cases/goeq-dce-0005/artifacts/clang-llvm-o0-novol-v1/prog_b/module.ll,,
goeq-dce-0006,dataset/cases/goeq-dce-0006/artifacts/clang-llvm-o0-novol-v1,novol,True,True,True,dataset/cases/goeq-dce-0006/artifacts/clang-llvm-o0-novol-v1/prog_a/normalized.novol.c,dataset/cases/goeq-dce-0006/artifacts/clang-llvm-o0-novol-v1/prog_b/normalized.novol.c,dataset/cases/goeq-dce-0006/artifacts/clang-llvm-o0-novol-v1/prog_a/module.ll,dataset/cases/goeq-dce-0006/artifacts/clang-llvm-o0-novol-v1/prog_b/module.ll,,
goeq-dce-0007,dataset/cases/goeq-dce-0007/artifacts/clang-llvm-o0-novol-v1,novol,True,True,True,dataset/cases/goeq-dce-0007/artifacts/clang-llvm-o0-novol-v1/prog_a/normalized.novol.c,dataset/cases/goeq-dce-0007/artifacts/clang-llvm-o0-novol-v1/prog_b/normalized.novol.c,dataset/cases/goeq-dce-0007/artifacts/clang-llvm-o0-novol-v1/prog_a/module.ll,dataset/cases/goeq-dce-0007/artifacts/clang-llvm-o0-novol-v1/prog_b/module.ll,,
goeq-dce-0008,dataset/cases/goeq-dce-0008/artifacts/clang-llvm-o0-novol-v1,novol,True,True,True,dataset/cases/goeq-dce-0008/artifacts/clang-llvm-o0-novol-v1/prog_a/normalized.novol.c,dataset/cases/goeq-dce-0008/artifacts/clang-llvm-o0-novol-v1/prog_b/normalized.novol.c,dataset/cases/goeq-dce-0008/artifacts/clang-llvm-o0-novol-v1/prog_a/module.ll,dataset/cases/goeq-dce-0008/artifacts/clang-llvm-o0-novol-v1/prog_b/module.ll,,
goeq-dce-0009,dataset/cases/goeq-dce-0009/artifacts/clang-llvm-o0-novol-v1,novol,True,True,True,dataset/cases/goeq-dce-0009/artifacts/clang-llvm-o0-novol-v1/prog_a/normalized.novol.c,dataset/cases/goeq-dce-0009/artifacts/clang-llvm-o0-novol-v1/prog_b/normalized.novol.c,dataset/cases/goeq-dce-0009/artifacts/clang-llvm-o0-novol-v1/prog_a/module.ll,dataset/cases/goeq-dce-0009/artifacts/clang-llvm-o0-novol-v1/prog_b/module.ll,,
goeq-dce-0010,dataset/cases/goeq-dce-0010/artifacts/clang-llvm-o0-novol-v1,novol,True,True,True,dataset/cases/goeq-dce-0010/artifacts/clang-llvm-o0-novol-v1/prog_a/normalized.novol.c,dataset/cases/goeq-dce-0010/artifacts/clang-llvm-o0-novol-v1/prog_b/normalized.novol.c,dataset/cases/goeq-dce-0010/artifacts/clang-llvm-o0-novol-v1/prog_a/module.ll,dataset/cases/goeq-dce-0010/artifacts/clang-llvm-o0-novol-v1/prog_b/module.ll,,
goeq-dce-0011,dataset/cases/goeq-dce-0011/artifacts/clang-llvm-o0-novol-v1,novol,True,True,True,dataset/cases/goeq-dce-0011/artifacts/clang-llvm-o0-novol-v1/prog_a/normalized.novol.c,dataset/cases/goeq-dce-0011/artifacts/clang-llvm-o0-novol-v1/prog_b/normalized.novol.c,dataset/cases/goeq-dce-0011/artifacts/clang-llvm-o0-novol-v1/prog_a/module.ll,dataset/cases/goeq-dce-0011/artifacts/clang-llvm-o0-novol-v1/prog_b/module.ll,,
goeq-dce-0012,dataset/cases/goeq-dce-0012/artifacts/clang-llvm-o0-novol-v1,novol,True,True,True,dataset/cases/goeq-dce-0012/artifacts/clang-llvm-o0-novol-v1/prog_a/normalized.novol.c,dataset/cases/goeq-dce-0012/artifacts/clang-llvm-o0-novol-v1/prog_b/normalized.novol.c,dataset/cases/goeq-dce-0012/artifacts/clang-llvm-o0-novol-v1/prog_a/module.ll,dataset/cases/goeq-dce-0012/artifacts/clang-llvm-o0-novol-v1/prog_b/module.ll,,
