case_id,expected_label,artifact_dir,source_prog_a_ir_path,source_prog_b_ir_path,prog_a_optimized_ir_path,prog_b_optimized_ir_path,prog_a_opt_ok,prog_b_opt_ok,prog_a_opt_error,prog_b_opt_error,successful,correct,predicted_label,raw_output,status,exit_code,timed_out,correct_count,incorrect_count,failed_to_prove_count,error_count,headline,error,raw_output_path,result_path
goeq-dce-0002,equivalent,dataset/cases/goeq-dce-0002/artifacts/clang-llvm-o0-novol-v1,dataset/cases/goeq-dce-0002/artifacts/clang-llvm-o0-novol-v1/prog_a/module.ll,dataset/cases/goeq-dce-0002/artifacts/clang-llvm-o0-novol-v1/prog_b/module.ll,dataset/cases/goeq-dce-0002/artifacts/clang-llvm-o0-novol-v1/prog_a/module.Os.ll,dataset/cases/goeq-dce-0002/artifacts/clang-llvm-o0-novol-v1/prog_b/module.Os.ll,True,True,,,True,False,inequivalent,inequivalent,inequivalent,0,False,11,1,1,0,Transformation seems to be correct! (syntactically equal),,dataset/cases/goeq-dce-0002/artifacts/clang-llvm-o0-novol-v1/alive2-u3-3-smt60000-Os.output.txt,dataset/cases/goeq-dce-0002/artifacts/clang-llvm-o0-novol-v1/alive2-u3-3-smt60000-Os.report.json
goeq-dce-0003,inequivalent,dataset/cases/goeq-dce-0003/artifacts/clang-llvm-o0-novol-v1,dataset/cases/goeq-dce-0003/artifacts/clang-llvm-o0-novol-v1/prog_a/module.ll,dataset/cases/goeq-dce-0003/artifacts/clang-llvm-o0-novol-v1/prog_b/module.ll,dataset/cases/goeq-dce-0003/artifacts/clang-llvm-o0-novol-v1/prog_a/module.Os.ll,dataset/cases/goeq-dce-0003/artifacts/clang-llvm-o0-novol-v1/prog_b/module.Os.ll,True,True,,,True,True,inequivalent,inequivalent,inequivalent,1,False,7,2,3,1,ERROR: Unsupported interprocedural transformation: non-constant global variable @g_184 is introduced in target,,dataset/cases/goeq-dce-0003/artifacts/clang-llvm-o0-novol-v1/alive2-u3-3-smt60000-Os.output.txt,dataset/cases/goeq-dce-0003/artifacts/clang-llvm-o0-novol-v1/alive2-u3-3-smt60000-Os.report.json
goeq-dce-0004,equivalent,dataset/cases/goeq-dce-0004/artifacts/clang-llvm-o0-novol-v1,dataset/cases/goeq-dce-0004/artifacts/clang-llvm-o0-novol-v1/prog_a/module.ll,dataset/cases/goeq-dce-0004/artifacts/clang-llvm-o0-novol-v1/prog_b/module.ll,dataset/cases/goeq-dce-0004/artifacts/clang-llvm-o0-novol-v1/prog_a/module.Os.ll,dataset/cases/goeq-dce-0004/artifacts/clang-llvm-o0-novol-v1/prog_b/module.Os.ll,True,True,,,True,True,equivalent,equivalent,equivalent,0,False,9,0,0,0,Transformation seems to be correct! (syntactically equal),,dataset/cases/goeq-dce-0004/artifacts/clang-llvm-o0-novol-v1/alive2-u3-3-smt60000-Os.output.txt,dataset/cases/goeq-dce-0004/artifacts/clang-llvm-o0-novol-v1/alive2-u3-3-smt60000-Os.report.json
goeq-dce-0005,inequivalent,dataset/cases/goeq-dce-0005/artifacts/clang-llvm-o0-novol-v1,dataset/cases/goeq-dce-0005/artifacts/clang-llvm-o0-novol-v1/prog_a/module.ll,dataset/cases/goeq-dce-0005/artifacts/clang-llvm-o0-novol-v1/prog_b/module.ll,dataset/cases/goeq-dce-0005/artifacts/clang-llvm-o0-novol-v1/prog_a/module.Os.ll,dataset/cases/goeq-dce-0005/artifacts/clang-llvm-o0-novol-v1/prog_b/module.Os.ll,True,True,,,True,True,inequivalent,inequivalent,inequivalent,0,False,5,4,0,0,Transformation doesn't verify!,,dataset/cases/goeq-dce-0005/artifacts/clang-llvm-o0-novol-v1/alive2-u3-3-smt60000-Os.output.txt,dataset/cases/goeq-dce-0005/artifacts/clang-llvm-o0-novol-v1/alive2-u3-3-smt60000-Os.report.json
goeq-dce-0006,equivalent,dataset/cases/goeq-dce-0006/artifacts/clang-llvm-o0-novol-v1,dataset/cases/goeq-dce-0006/artifacts/clang-llvm-o0-novol-v1/prog_a/module.ll,dataset/cases/goeq-dce-0006/artifacts/clang-llvm-o0-novol-v1/prog_b/module.ll,dataset/cases/goeq-dce-0006/artifacts/clang-llvm-o0-novol-v1/prog_a/module.Os.ll,dataset/cases/goeq-dce-0006/artifacts/clang-llvm-o0-novol-v1/prog_b/module.Os.ll,True,True,,,True,False,inequivalent,inequivalent,inequivalent,0,False,2,1,0,0,Transformation doesn't verify!,,dataset/cases/goeq-dce-0006/artifacts/clang-llvm-o0-novol-v1/alive2-u3-3-smt60000-Os.output.txt,dataset/cases/goeq-dce-0006/artifacts/clang-llvm-o0-novol-v1/alive2-u3-3-smt60000-Os.report.json
goeq-dce-0007,inequivalent,dataset/cases/goeq-dce-0007/artifacts/clang-llvm-o0-novol-v1,dataset/cases/goeq-dce-0007/artifacts/clang-llvm-o0-novol-v1/prog_a/module.ll,dataset/cases/goeq-dce-0007/artifacts/clang-llvm-o0-novol-v1/prog_b/module.ll,dataset/cases/goeq-dce-0007/artifacts/clang-llvm-o0-novol-v1/prog_a/module.Os.ll,dataset/cases/goeq-dce-0007/artifacts/clang-llvm-o0-novol-v1/prog_b/module.Os.ll,True,True,,,True,False,equivalent,equivalent,equivalent,0,False,3,0,0,0,Transformation seems to be correct!,,dataset/cases/goeq-dce-0007/artifacts/clang-llvm-o0-novol-v1/alive2-u3-3-smt60000-Os.output.txt,dataset/cases/goeq-dce-0007/artifacts/clang-llvm-o0-novol-v1/alive2-u3-3-smt60000-Os.report.json
goeq-dce-0008,equivalent,dataset/cases/goeq-dce-0008/artifacts/clang-llvm-o0-novol-v1,dataset/cases/goeq-dce-0008/artifacts/clang-llvm-o0-novol-v1/prog_a/module.ll,dataset/cases/goeq-dce-0008/artifacts/clang-llvm-o0-novol-v1/prog_b/module.ll,dataset/cases/goeq-dce-0008/artifacts/clang-llvm-o0-novol-v1/prog_a/module.Os.ll,dataset/cases/goeq-dce-0008/artifacts/clang-llvm-o0-novol-v1/prog_b/module.Os.ll,True,True,,,True,True,equivalent,equivalent,equivalent,0,False,3,0,0,0,Transformation seems to be correct! (syntactically equal),,dataset/cases/goeq-dce-0008/artifacts/clang-llvm-o0-novol-v1/alive2-u3-3-smt60000-Os.output.txt,dataset/cases/goeq-dce-0008/artifacts/clang-llvm-o0-novol-v1/alive2-u3-3-smt60000-Os.report.json
goeq-dce-0009,inequivalent,dataset/cases/goeq-dce-0009/artifacts/clang-llvm-o0-novol-v1,dataset/cases/goeq-dce-0009/artifacts/clang-llvm-o0-novol-v1/prog_a/module.ll,dataset/cases/goeq-dce-0009/artifacts/clang-llvm-o0-novol-v1/prog_b/module.ll,dataset/cases/goeq-dce-0009/artifacts/clang-llvm-o0-novol-v1/prog_a/module.Os.ll,dataset/cases/goeq-dce-0009/artifacts/clang-llvm-o0-novol-v1/prog_b/module.Os.ll,True,True,,,True,False,equivalent,equivalent,equivalent,0,False,3,0,0,0,Transformation seems to be correct! (syntactically equal),,dataset/cases/goeq-dce-0009/artifacts/clang-llvm-o0-novol-v1/alive2-u3-3-smt60000-Os.output.txt,dataset/cases/goeq-dce-0009/artifacts/clang-llvm-o0-novol-v1/alive2-u3-3-smt60000-Os.report.json
goeq-dce-0010,equivalent,dataset/cases/goeq-dce-0010/artifacts/clang-llvm-o0-novol-v1,dataset/cases/goeq-dce-0010/artifacts/clang-llvm-o0-novol-v1/prog_a/module.ll,dataset/cases/goeq-dce-0010/artifacts/clang-llvm-o0-novol-v1/prog_b/module.ll,dataset/cases/goeq-dce-0010/artifacts/clang-llvm-o0-novol-v1/prog_a/module.Os.ll,dataset/cases/goeq-dce-0010/artifacts/clang-llvm-o0-novol-v1/prog_b/module.Os.ll,True,True,,,True,True,equivalent,equivalent,equivalent,0,False,4,0,0,0,Transformation seems to be correct! (syntactically equal),,dataset/cases/goeq-dce-0010/artifacts/clang-llvm-o0-novol-v1/alive2-u3-3-smt60000-Os.output.txt,dataset/cases/goeq-dce-0010/artifacts/clang-llvm-o0-novol-v1/alive2-u3-3-smt60000-Os.report.json
goeq-dce-0011,inequivalent,dataset/cases/goeq-dce-0011/artifacts/clang-llvm-o0-novol-v1,dataset/cases/goeq-dce-0011/artifacts/clang-llvm-o0-novol-v1/prog_a/module.ll,dataset/cases/goeq-dce-0011/artifacts/clang-llvm-o0-novol-v1/prog_b/module.ll,dataset/cases/goeq-dce-0011/artifacts/clang-llvm-o0-novol-v1/prog_a/module.Os.ll,dataset/cases/goeq-dce-0011/artifacts/clang-llvm-o0-novol-v1/prog_b/module.Os.ll,True,True,,,True,True,inequivalent,inequivalent,inequivalent,0,False,2,2,0,0,Transformation seems to be correct! (syntactically equal),,dataset/cases/goeq-dce-0011/artifacts/clang-llvm-o0-novol-v1/alive2-u3-3-smt60000-Os.output.txt,dataset/cases/goeq-dce-0011/artifacts/clang-llvm-o0-novol-v1/alive2-u3-3-smt60000-Os.report.json
